First process instance # in stats,1
Last process instance # in stats,100

Resource utilization
Resource,Utilization %
Automated Service,QBP_SERVICE_RESOURCE_ID,0
🧹 Хозяйственный отдел,Lane_Housekeeping,12
🐾 Специалист по уходу,Lane_CareSpecialist,30
🩺 Ветеринар,Lane_Veterinarian,16
📋 Специалист по приему,Lane_Reception,18

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
GATEWAY 11 AND,PetHotelProcess.Gateway_CheckInJoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
GATEWAY 20 XOR,PetHotelProcess.Gateway_PlayJoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
GATEWAY 30 AND,PetHotelProcess.Gateway_FinalSplit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
GATEWAY 8 AND,PetHotelProcess.Gateway_CheckInSplit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
Вакцинация OK?,PetHotelProcess.Gateway_VaccinationCheck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Вет. осмотр,PetHotelProcess.Task_VetCheck,1200.0,1200.0,1200.0,112800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333332,13.333333333333334,13.333333333333334,1253.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
Выписка и расчет,PetHotelProcess.Task_Checkout,600.0,600.0,600.0,56400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,3.3333333333333335,3.3333333333333335,313.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
Групповые игры,PetHotelProcess.Task_GroupPlay,1800.0,1800.0,1800.0,118800.0,0.0,0.0,0.0,0.0,19200.0,0.0,230400.0,1267200.0,9.0,9.0,9.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66
Ежедневный уход,PetHotelProcess.SubProcess_DailyCare,27280.85106382979,4800.0,235800.0,2564400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6106382978723404,0.0,9.0,2454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
Запрос получен,PetHotelProcess.Event_Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Зарегистрировать бронь,PetHotelProcess.Task_RegisterBooking,600.0,600.0,600.0,60000.0,0.0,0.0,0.0,0.0,22464.0,0.0,230400.0,2246400.0,3.333333333333332,3.3333333333333335,3.3333333333333335,333.3333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Индивидуальные игры,PetHotelProcess.Task_IndividualPlay,1200.0,1200.0,1200.0,33600.0,0.0,0.0,0.0,0.0,28800.0,0.0,230400.0,806400.0,6.0,6.0,6.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
Итоговый отчет,PetHotelProcess.Task_FinalReport,300.0,300.0,300.0,28200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
Конец ухода,PetHotelProcess.Event_SubEnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
Кормление,PetHotelProcess.Task_DailyFeeding,1200.0,1200.0,1200.0,112800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
Начало,PetHotelProcess.Event_SubStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
